freelancer_id,category,primary_skills,years_experience,experience_level,region,country,education,hourly_rate_usd,annual_income_usd,primary_platform
FL0411,Blockchain,"Solidity, Smart Contracts, Ethereum",2.3,mid,Eastern Europe,Poland,Master,86.96,"$90,889.62",Upwork
FL0412,Web Development,"React, Node.js, HTML/CSS",7.8,senior,Asia Pacific,China,Self-taught,50.93,"$41,162.21",Freelancer
FL0413,Backend Development,"PHP, Python, Java",5.2,senior,Latin America,Mexico,Self-taught,82.24,"$81,250.50",Upwork
FL0414,Backend Development,"Ruby, Java, Go",2.2,mid,Asia Pacific,Philippines,Bachelor,36.09,"$34,638.24",LinkedIn
FL0415,Cybersecurity,"Network Security, Cryptography, Penetration Testing",2.1,mid,Asia Pacific,Philippines,Bachelor,45.55,"$37,513.33",Direct Client
FL0416,Mobile Development,"iOS, Flutter, React Native",7.7,senior,Africa,Nigeria,Master,44.02,"$37,106.28",Direct Client
FL0417,Web Development,"Angular, HTML/CSS, Vue.js",7.2,senior,Africa,Nigeria,Bachelor,42.08,"$33,722.46",Fiverr
FL0418,Backend Development,"Ruby, C#, Python",7.4,senior,Middle East,Israel,Master,115.87,"$124,497.33",Fiverr
FL0419,Mobile Development,"Swift, Android, Kotlin",9.4,senior,Africa,Nigeria,Master,51.69,"$41,380.49",Upwork
FL0420,Web Development,"JavaScript, HTML/CSS, Vue.js",3.2,mid,Latin America,Brazil,Self-taught,39.69,"$34,830.01",Freelancer
FL0421,Web Development,"JavaScript, React, Vue.js",6.2,senior,North America,Canada,Self-taught,129.8,"$128,767.96",Freelancer
FL0422,Cybersecurity,"Penetration Testing, Security Audit, Cryptography",2.1,mid,Eastern Europe,Ukraine,Self-taught,61.04,"$58,890.91",Freelancer
FL0423,Cybersecurity,"Cryptography, Penetration Testing, Security Audit",6.5,senior,Middle East,Israel,Bachelor,162.53,"$174,258.87",Upwork
FL0424,Cybersecurity,"Penetration Testing, Security Audit, Cryptography",10.5,senior,Latin America,Colombia,Master,77.99,"$63,813.67",Toptal
FL0425,Data Engineering,"Data Warehousing, ETL, BigQuery",5.8,senior,Latin America,Brazil,PhD,79.14,"$66,829.87",Freelancer
FL0426,UI/UX Design,"User Research, Wireframing, Figma",6.2,senior,Eastern Europe,Ukraine,Master,59.88,"$64,106.43",LinkedIn
FL0427,Data Engineering,"Spark, SQL, Data Warehousing",6.6,senior,Middle East,UAE,PhD,137.99,"$141,416.69",Upwork
FL0428,Full Stack,"React, MongoDB, REST API",7.9,senior,Africa,Nigeria,Master,51.54,"$53,893.81",Direct Client
FL0429,Cybersecurity,"Network Security, Security Audit, Cryptography",8.7,senior,Africa,South Africa,Bachelor,78.79,"$78,576.13",Direct Client
FL0430,Blockchain,"Solidity, Smart Contracts, DeFi",4.5,mid,North America,US,Bachelor,177.33,"$159,685.64",Fiverr
FL0431,Blockchain,"Solidity, DeFi, Ethereum",1.3,junior,Eastern Europe,Poland,Bootcamp,56.18,"$48,403.27",LinkedIn
FL0432,Backend Development,"Java, Ruby, Python",9,senior,Latin America,Mexico,Bachelor,56.9,"$50,888.98",Fiverr
FL0433,Blockchain,"Smart Contracts, DeFi, Ethereum",4.7,mid,Western Europe,Germany,Bachelor,164.34,"$136,850.33",Upwork
FL0434,Full Stack,"React, Node.js, GraphQL",3.5,mid,Middle East,Israel,Bachelor,92.32,"$98,459.44",Toptal
FL0435,DevOps,"Kubernetes, Azure, CI/CD",4.9,mid,North America,US,Bachelor,141.65,"$152,466.15",Direct Client
FL0436,Cybersecurity,"Cryptography, Network Security, Security Audit",11.1,senior,Middle East,UAE,Self-taught,133.49,"$107,695.55",LinkedIn
FL0437,UI/UX Design,"Prototyping, Adobe XD, Figma",3.6,mid,Asia Pacific,India,Master,30.19,"$27,023.60",LinkedIn
FL0438,AI/ML Engineering,"Python, PyTorch, Computer Vision",7.1,senior,Middle East,Israel,Master,173.57,"$175,400.95",Direct Client
FL0439,Cybersecurity,"Security Audit, Cryptography, Penetration Testing",3,mid,Asia Pacific,Philippines,Bachelor,40.81,"$32,595.81",Direct Client
FL0440,DevOps,"CI/CD, AWS, Kubernetes",1,junior,Africa,Nigeria,Master,20.24,"$21,311.68",Direct Client
FL0441,DevOps,"Kubernetes, Azure, AWS",6.2,senior,Africa,Nigeria,Master,53.48,"$46,562.27",Upwork
FL0442,AI/ML Engineering,"TensorFlow, Data Science, PyTorch",10.8,senior,Africa,Nigeria,Bachelor,64.48,"$53,973.48",Direct Client
FL0443,Backend Development,"Python, C#, Go",6.4,senior,Asia Pacific,Australia,Bachelor,194.73,"$197,995.26",Toptal
FL0444,UI/UX Design,"Adobe XD, Figma, Sketch",3,mid,Asia Pacific,Japan,Self-taught,72.49,"$67,911.88",Upwork
FL0445,Cybersecurity,"Network Security, Penetration Testing, Cryptography",7.9,senior,North America,US,Master,237.41,"$243,578.38",Direct Client
FL0446,Full Stack,"REST API, GraphQL, MongoDB",9.3,senior,Western Europe,Switzerland,Bootcamp,207.53,"$196,851.16",Freelancer
FL0447,Mobile Development,"iOS, Flutter, Kotlin",9.5,senior,Middle East,Israel,Bachelor,139.99,"$131,736.83",Toptal
FL0448,DevOps,"Docker, Terraform, AWS",1.5,junior,Asia Pacific,China,Self-taught,27.45,"$26,629.56",Upwork
FL0449,Data Engineering,"Spark, Data Warehousing, BigQuery",7.1,senior,Middle East,Israel,Master,137.4,"$110,994.58",Toptal
FL0450,UI/UX Design,"Sketch, User Research, Adobe XD",11.5,senior,Middle East,Israel,Bachelor,126.96,"$126,892.07",Freelancer
FL0451,Full Stack,"REST API, PostgreSQL, React",6,senior,Western Europe,France,Bachelor,156.41,"$127,682.33",Upwork
FL0452,DevOps,"CI/CD, Azure, AWS",5.5,senior,Africa,South Africa,Master,72.33,"$60,954.68",LinkedIn
FL0453,AI/ML Engineering,"TensorFlow, Python, PyTorch",1.1,junior,Eastern Europe,Poland,Bachelor,42.4,"$41,365.14",Freelancer
FL0454,Backend Development,"Python, Ruby, Go",4.8,mid,Eastern Europe,Poland,Master,63.35,"$55,982.76",Direct Client
FL0455,Backend Development,"Java, Python, C#",9.1,senior,Western Europe,UK,Bachelor,153.42,"$137,473.00",Freelancer
FL0456,Backend Development,"Java, Python, C#",1.4,junior,Middle East,UAE,Self-taught,44.95,"$39,907.19",Upwork
FL0457,Web Development,"Vue.js, Angular, React",6.6,senior,Latin America,Brazil,Bachelor,70.19,"$75,033.16",LinkedIn
FL0458,Mobile Development,"React Native, Android, Flutter",1.8,junior,North America,Canada,Self-taught,62.2,"$64,395.56",LinkedIn
FL0459,DevOps,"Kubernetes, AWS, Docker",6.2,senior,Western Europe,Switzerland,Master,214.75,"$213,943.42",Upwork
FL0460,Web Development,"HTML/CSS, Node.js, JavaScript",5.9,senior,Africa,Nigeria,Master,47.05,"$45,616.50",Upwork
FL0461,Mobile Development,"Flutter, Kotlin, iOS",6,senior,Western Europe,Germany,Self-taught,201.38,"$216,946.83",Direct Client
FL0462,DevOps,"Kubernetes, Docker, AWS",6.3,senior,Eastern Europe,Ukraine,Self-taught,97.9,"$95,017.88",Direct Client
FL0463,Backend Development,"Ruby, Java, C#",4.2,mid,Africa,South Africa,Self-taught,36.24,"$31,023.78",LinkedIn
FL0464,Backend Development,"Ruby, Go, C#",6.7,senior,Latin America,Brazil,Self-taught,53.96,"$45,045.74",Upwork
FL0465,Web Development,"Vue.js, HTML/CSS, React",1.7,junior,Middle East,UAE,Bachelor,39.17,"$37,164.96",Fiverr
FL0466,Blockchain,"Web3, DeFi, Ethereum",8.4,senior,Eastern Europe,Romania,Self-taught,115.16,"$107,966.86",Upwork
FL0467,Mobile Development,"iOS, Kotlin, Swift",10.6,senior,Asia Pacific,Japan,Bachelor,144.53,"$130,578.15",Direct Client
FL0468,Data Engineering,"ETL, SQL, Python",5.3,senior,Eastern Europe,Romania,Bachelor,87.96,"$85,938.69",Toptal
FL0469,UI/UX Design,"Figma, User Research, Prototyping",6.4,senior,Eastern Europe,Romania,Bachelor,61,"$62,884.27",LinkedIn
FL0470,UI/UX Design,"Wireframing, Sketch, User Research",6.2,senior,North America,US,Self-taught,140.73,"$133,247.66",Direct Client
FL0471,Full Stack,"React, REST API, MongoDB",7.8,senior,Africa,Nigeria,Master,48.87,"$51,733.85",Toptal
FL0472,Blockchain,"Ethereum, Solidity, DeFi",3.2,mid,Latin America,Brazil,Master,73.03,"$64,149.44",Fiverr
FL0473,UI/UX Design,"Adobe XD, Figma, Sketch",9.2,senior,North America,US,Master,151.71,"$144,224.43",Upwork
FL0474,Backend Development,"C#, Go, Python",5.5,senior,Latin America,Mexico,Bootcamp,68.84,"$65,319.89",Direct Client
FL0475,AI/ML Engineering,"Computer Vision, Python, Data Science",9.6,senior,Eastern Europe,Poland,PhD,118.02,"$121,596.83",LinkedIn
FL0476,Cybersecurity,"Security Audit, Cryptography, Network Security",10.1,senior,Latin America,Colombia,Self-taught,77.97,"$73,138.09",Freelancer
FL0477,Data Engineering,"Data Warehousing, Spark, ETL",1.5,junior,Eastern Europe,Ukraine,Master,39.27,"$37,464.03",Fiverr
FL0478,Cybersecurity,"Network Security, Penetration Testing, Cryptography",4.8,mid,Africa,South Africa,Bootcamp,56.01,"$46,515.97",Freelancer
FL0479,DevOps,"CI/CD, Terraform, Azure",8.8,senior,Asia Pacific,India,Bootcamp,47.1,"$45,315.16",Toptal
FL0480,Blockchain,"DeFi, Web3, Ethereum",3.6,mid,Middle East,UAE,Bootcamp,113.26,"$100,450.96",Direct Client
FL0481,Blockchain,"Web3, Smart Contracts, Solidity",4.3,mid,North America,US,Master,180.38,"$144,946.22",Fiverr
FL0482,UI/UX Design,"User Research, Figma, Adobe XD",7.1,senior,North America,Canada,Bootcamp,111.67,"$97,114.94",Upwork
FL0483,Cybersecurity,"Network Security, Penetration Testing, Security Audit",5.9,senior,Asia Pacific,Philippines,Bachelor,49.73,"$47,750.01",Toptal
FL0484,Full Stack,"PostgreSQL, GraphQL, React",7.2,senior,Eastern Europe,Ukraine,Bachelor,74.46,"$59,985.55",Fiverr
FL0485,Web Development,"React, JavaScript, Angular",5,mid,Eastern Europe,Romania,Self-taught,46.78,"$49,679.47",LinkedIn
FL0486,Mobile Development,"Flutter, Kotlin, Android",4.4,mid,North America,US,Master,117.81,"$117,313.03",Direct Client
FL0487,AI/ML Engineering,"Python, Computer Vision, TensorFlow",2.5,mid,Western Europe,France,PhD,137.72,"$134,984.70",LinkedIn
FL0488,Full Stack,"REST API, GraphQL, Node.js",2.1,mid,Western Europe,UK,Bachelor,100.88,"$98,174.71",Upwork
FL0489,Cybersecurity,"Network Security, Security Audit, Penetration Testing",7,senior,Asia Pacific,China,Bachelor,75.91,"$79,577.13",Direct Client
FL0490,Data Engineering,"SQL, ETL, Python",3.3,mid,North America,US,Master,133.96,"$142,484.16",Upwork
FL0491,Full Stack,"REST API, React, MongoDB",3.9,mid,Middle East,Israel,Master,91.94,"$78,225.20",Upwork
FL0492,Cybersecurity,"Network Security, Cryptography, Penetration Testing",3.8,mid,Asia Pacific,Australia,Bootcamp,142.71,"$151,580.03",Toptal
FL0493,DevOps,"CI/CD, Kubernetes, Azure",5.4,senior,Africa,South Africa,Bootcamp,70.94,"$69,616.41",Direct Client
FL0494,AI/ML Engineering,"TensorFlow, Data Science, Computer Vision",8.2,senior,Africa,Nigeria,PhD,71.56,"$60,239.65",Upwork
FL0495,UI/UX Design,"User Research, Figma, Wireframing",6.7,senior,Latin America,Argentina,Bachelor,64.06,"$61,521.90",Direct Client
FL0496,UI/UX Design,"Adobe XD, Sketch, Figma",9.7,senior,Western Europe,Germany,Self-taught,129.08,"$114,149.16",Direct Client
FL0497,Cybersecurity,"Network Security, Security Audit, Cryptography",1.2,junior,Western Europe,Switzerland,Bootcamp,84.37,"$86,158.21",Toptal
FL0498,DevOps,"Docker, Kubernetes, Terraform",6.4,senior,North America,US,Bachelor,220.15,"$225,178.75",LinkedIn
FL0499,AI/ML Engineering,"Python, NLP, PyTorch",7.4,senior,Western Europe,UK,PhD,220.01,"$236,868.46",Freelancer
FL0500,Blockchain,"Ethereum, Solidity, Smart Contracts",10.8,senior,Eastern Europe,Romania,Master,127.68,"$136,126.59",LinkedIn
